text
"### Instruction: Given a raw source for a product, generate five detailed descriptions in Korean. Each description should be relevant to the raw source.

### Raw Source:2023 신형 스마트 터치 LED 책상용 램프 눈보호 램프 학생 기숙사용 침대 옆 조명기구 충전 가능 삼단 조명 조절
### Detailed Description:2023년 신형 스마트 터치 LED 책상용 램프는 눈의 피로를 줄이는 눈보호 기능을 자랑합니다. 
삼단 조명 조절 기능이 탑재되어 있어, 학습이나 독서, 휴식 시에 적합한 광도를 선택할 수 있습니다.
터치 한 번으로 조명의 밝기와 모드를 쉽게 조절할 수 있는 사용자 친화적인 디자인입니다.
충전 가능한 기능이 있어, 기숙사나 침대 옆에서도 편리하게 사용할 수 있습니다.
현대적인 디자인과 기능성을 겸비하여, 학생들의 책상 위에 최적의 조명 솔루션을 제공합니다."
"### Instruction: Given a raw source for a product, generate a coherent and relevant product title in Korean.

### Raw Source:2023 신형 스마트 로봇 청소기 가정용 전자동 물걸레 청소기 스마트 내비게이션 원격 제어로 편리하고 효율적입니다
### Product Title:2023 스마트 로봇 청소기 자동 물걸레 내비게이션 원격제어"
"### Instruction: Given a raw source for a product, generate related search keywords in Korean that are relevant to the raw source and practically usable.

### Raw Source:겨울용 두꺼운 남성용 패딩 코트 방한 방풍 후드 큰 사이즈 젊은이 패션 트렌드 검은색 외투
### Related Keywords:[남성패딩코트, 방한코트, 방풍패딩, 두꺼운패딩, 대형사이즈패딩, 남성겨울코트, 트렌디한남성패딩, 검은색패딩코트]"
"### Instruction: Given a raw source for a product, generate related search keywords in Korean that are relevant to the raw source and practically usable.

### Raw Source:페라리 레드 스포츠카 모형 자동차 수집판 1:18 스케일 다이캐스트 모델, 문 열림 기능, 합금 자동차 모형 장난감 선물
### Related Keywords:[페라리 모형 자동차, 스포츠카 모형, 다이캐스트 자동차, 1:18 스케일 자동차, 합금 모형차, 자동차 수집품, 모형 자동차 선물, 페라리 다이캐스트 모델]"
"### Instruction: Given a raw source for a product, generate a coherent and relevant product title in Korean.

### Raw Source:다기능 전동 면도기 충전식 남성 수염 트리머 빠른 충전 지속 배터리 휴대용 면도기
### Product Title:빠른 충전 멀티 전동 면도기 남성 수염 정리기"
"### Instruction: Given a raw source for a product, generate five detailed descriptions in Korean. Each description should be relevant to the raw source.

### Raw Source:전자동 지능형 로봇 청소기 가정용 먼지 흡입기 걸레질 기능 일체형 물 흡수 물걸레 청소기 정숙형 진드기 제거 다기능
### Detailed Description:전자동 지능형 로봇 청소기는 먼지부터 진드기 제거까지 가정의 청결을 책임집니다.
강력한 흡입력으로 미세먼지는 물론, 알레르기 유발 진드기까지 효과적으로 제거해줍니다.
일체형 물걸레 기능이 탑재되어 있어, 걸레질과 물걸레 청소를 한 번에 해결할 수 있습니다.
정숙한 운영으로 밤낮으로 사용해도 가족의 휴식을 방해하지 않습니다.
다기능성을 갖춘 이 로봇 청소기는 바쁜 일상 속에서도 깨끗한 집을 유지할 수 있게 도와줍니다."
"### Instruction: Given a raw source for a product, generate five detailed descriptions in Korean. Each description should be relevant to the raw source.

### Raw Source:【신제품 출시】1+1 행사
스마트 로봇 청소기 자동 충전 가정용 저소음 진공청소기 겸용 물걸레 청소기 스마트 계획
### Detailed Description:【신제품 출시 1+1 행사】 지금 구매하시면 스마트 로봇 청소기를 하나 더 드립니다! 
이 스마트 로봇 청소기는 자동 충전 기능이 탑재되어 있어 사용이 편리합니다. 
저소음 설계로 조용하게 청소할 수 있어, 가정에서의 쾌적한 환경을 유지할 수 있습니다.
진공청소와 물걸레 청소가 동시에 가능하여 바닥을 더욱 깨끗하고 효과적으로 관리할 수 있습니다.
스마트 계획 기능을 통해 청소기가 스스로 청소 경로를 계획하고 효율적으로 작동합니다."
"### Instruction: Given a raw source for a product, generate five detailed descriptions in Korean. Each description should be relevant to the raw source.

### Raw Source:【전신 업그레이드】다기능 스마트 스포츠 워치 남녀공용 심박수 모니터링 걸음수계 수면 분석 방수 블루투스 팔찌 검정색/흰색/
### Detailed Description:전신 업그레이드된 이 다기능 스마트 스포츠 워치는 남녀 모두 사용할 수 있어 실용적입니다.
심박수 모니터링, 걸음수계, 수면 분석 기능을 갖추고 있어 건강 관리를 한층 더 체계적으로 도와줍니다.
방수 기능이 탑재되어 있어 운동 시나 일상생활에서 물에 젖을 걱정 없이 사용할 수 있습니다.
블루투스 연결을 통해 스마트폰과 쉽게 연동되어 편리하게 다양한 기능을 이용할 수 있습니다.
검정색과 흰색 두 가지 색상 옵션이 있어 개인의 취향에 맞게 선택할 수 있습니다."
"### Instruction: Given a raw source for a product, generate five detailed descriptions in Korean. Each description should be relevant to the raw source.

### Raw Source:2023 신모델 스마트워치 남녀공용 스포츠 다기능 방수 블루투스 전화 팔찌 건강 감시 패션 시계
### Detailed Description:2023년 신모델 스마트워치는 남녀 누구나 착용하기 좋은 유니섹스 디자인으로 제작되었습니다. 
스포츠 활동 중에도 편리하게 사용할 수 있도록 다양한 기능이 탑재되어 있으며, 방수 기능이 있어 물에 강합니다.
블루투스를 통한 전화 기능은 언제 어디서나 손쉽게 통화를 가능하게 해줍니다.
건강 모니터링 기능으로 심박수, 운동량, 수면 패턴 등을 체크할 수 있어 일상의 건강 관리에 도움을 줍니다.
패션 시계로서의 역할도 톡톡히 하며, 어떤 의상에도 잘 어울리는 세련된 디자인을 자랑합니다."
"### Instruction: Given a raw source for a product, generate related search keywords in Korean that are relevant to the raw source and practically usable.

### Raw Source:새로운 스마트워치 남녀공용 2023 터치스크린 심박수 모니터링 스포츠 걸음수 방수 블루투스 전화 시계
### Related Keywords:[스마트워치 2023, 남녀공용 스마트워치, 심박수 모니터링 시계, 스포츠 스마트워치, 방수 스마트워치, 걸음수 측정 시계, 블루투스 전화 시계, 터치스크린 스마트워치]"
"### Instruction: Given a raw source for a product, generate related search keywords in Korean that are relevant to the raw source and practically usable.

### Raw Source:별하늘 프로젝션 램프 LED 컬러 나이트 라이트 어린이 방 인테리어 장식 분위기 조명 회전 가능 다양한 모드 수면 보조 램프
### Related Keywords:[별하늘 프로젝션 램프, LED 나이트 라이트, 어린이 방 조명, 분위기 조명, 회전 가능 램프, 다양한 모드 램프, 수면 보조 조명, 인테리어 램프]"
"### Instruction: Given a raw source for a product, generate five detailed descriptions in Korean. Each description should be relevant to the raw source.

### Raw Source:애완용 고양이 강아지 자동 급식기 스마트 타이머 정량 애완동물 사료기 건식 습식 분리 급식 도구
### Detailed Description:애완용 고양이와 강아지를 위한 스마트 자동 급식기는 정해진 시간에 정확한 양의 사료를 자동으로 공급해 줍니다.
건식 사료와 습식 사료를 분리하여 보관할 수 있는 기능이 있어, 사료의 신선함을 유지하며 영양소 파괴를 최소화합니다.
타이머 설정 기능을 통해 주인의 생활 패턴에 맞춰 애완동물의 식사 시간을 조절할 수 있어 편리합니다.
애완동물이 건강한 식습관을 유지할 수 있도록 돕는 이 급식기는 바쁜 반려인들에게 안성맞춤입니다.
간편한 조작과 청소가 가능하여, 애완동물의 위생적인 식사 환경을 제공합니다."
"### Instruction: Given a raw source for a product, generate a coherent and relevant product title in Korean.

### Raw Source:북유럽 스타일의 실제 나무로 만든 티 테이블 세트, 현대적이고 간결한 소형 거실 원탁, 창의적인 가구 커피 테이블 3개 세트
### Product Title:북유럽 스타일 나무 티 테이블 소형 거실용 세트"
"### Instruction: Given a raw source for a product, generate related search keywords in Korean that are relevant to the raw source and practically usable.

### Raw Source:다채로운 가을 여성 긴팔 라운드넥 스웨터 학생 루즈핏 캐주얼 풀오버 프린트 패턴 일본 스타일
### Related Keywords:[가을 스웨터, 여성 긴팔 스웨터, 라운드넥 풀오버, 캐주얼 스웨터, 일본 스타일 여성복, 루즈핏 스웨터, 패턴 스웨터]"
"### Instruction: Given a raw source for a product, generate five detailed descriptions in Korean. Each description should be relevant to the raw source.

### Raw Source:LUSH 란슈 공식 정품 샴푸 비누 원형 철제 상자
### Detailed Description:LUSH 란슈 공식 정품 샴푸 비누를 위한 원형 철제 상자입니다.
튼튼한 철제 소재로 제작되어 내구성이 뛰어나고 비누를 안전하게 보관할 수 있습니다.
원형 디자인은 공간 활용을 극대화하며, 샴푸 비누와 완벽하게 맞습니다.
심플하면서도 세련된 디자인으로 욕실이나 여행 가방 속에서도 잘 어울립니다.
이 상자는 샴푸 비누의 수명을 연장시키는 데 도움을 주어 경제적이기도 합니다."
"### Instruction: Given a raw source for a product, generate five detailed descriptions in Korean. Each description should be relevant to the raw source.

### Raw Source:겨울 신상 트렌디한 오버사이즈 퍼 칼라 여성용 롱 다운 자켓 무릎을 넘는 따뜻한 외투 패션 간결한 코트
### Detailed Description:겨울 시즌에 딱 맞는 신상 오버사이즈 롱 다운 자켓으로, 여성분들에게 특별한 스타일을 선사합니다.
퍼 칼라 디자인이 포함되어 있어, 보온성은 물론이고 스타일리시한 외모까지 연출할 수 있습니다.
무릎을 넘는 길이의 디자인으로 추운 날씨에도 체온을 효과적으로 유지시켜 줍니다.
간결한 디자인이 일상복은 물론, 겨울철 특별한 자리에서도 멋스럽게 착용하기 좋습니다.
이 다운 자켓은 겨울철 필수 아이템으로, 한겨울에도 따뜻하고 세련된 패션을 완성시켜 줍니다."
"### Instruction: Given a raw source for a product, generate a coherent and relevant product title in Korean.

### Raw Source:2023 신형 스마트워치 다기능 스포츠 손목시계 남녀공용 방수 걸음수 및 심박수 모니터링 스마트 웨어러블 기기
### Product Title:Product title example: 2023 신형 스마트워치 방수 걸음수 심박 모니터링 남녀공용"
